Geracao;Indice;Fitness;Caminho
0;0;998;DEDDDBCBBBDDEEDDEDED
0;1;998;DEDEDDDDDBDEDEDD
0;2;998;DDEDDEDBBBEDDDEDED
0;3;998;DDDBCEDDEDDBDEDD
0;4;998;DDDBCEDEDBBCBBDD
0;5;997;DDEDDDDBDDC
0;6;997;BBCCDDDEDBBBD
0;7;997;BBBDECCCDDDBBBCBD
0;8;997;BBBCCCDDEDEDDDDEDBD
0;9;997;BBBDDDCBEDDDE
0;10;997;DEDEDDEDDDDEDBDDEED
0;11;996;BCDDEDEDDEDDDB
0;12;996;BBBCBDDEDD
0;13;996;BBBCBCCCBCBCBBBDDD
0;14;996;BCBBBCBCBDEDDD
0;15;996;DEBBCCDEDDEDDDDBDE
0;16;996;BBBDDDDDEDEDEEEEDEDD
0;17;996;DDDDDBDDCBEE
0;18;995;BCBBBDDDCCB
0;19;995;BBBDEDDEDEDED
0;20;995;BCBCDDEDDBBCB
0;21;995;DEDDDEEDEDDEDDDED
0;22;995;DDEDDEDBCBCDDBC
0;23;995;DDDBBCBCBBCCBBEDE
0;24;995;BBCCDDEDDBBCB
0;25;995;BBCCBBBCBDDDDECBE
0;26;995;BCBBCCBBBCBDDDCBE
0;27;995;DDEDEDEEDEDEBBBCBDD
0;28;995;DDEDDEDDEDD
0;29;995;DEDDDEEDDDEDEDEBB
0;30;994;BCBCBBBCBDDE
0;31;994;DDDDEEDBCDDEDBCEEBCD
0;32;994;BBBCBDEDDEDE
0;33;994;DEBBBDECBDDEED
0;34;994;BCDDDBBBDEEEDEDE
0;35;994;DEDDDBCDEDDE
0;36;994;BCBBBDEDED
0;37;994;BCDEDEBBCCDDDEDEDB
0;38;994;DEDDEDEDEEDDDEDBBBCC
0;39;994;BBCBBDECBD
0;40;994;BCDEDEBBBDDDEEECCBBD
0;41;994;BCDDDEDDDEDEEB
0;42;994;DEBBBCBDDEDEDEDDCBCC
0;43;994;DDDDEEDBBBCBCCBCBBEE
0;44;994;BBCCBBBDED
0;45;994;BBCCDEBBCBCBCBBDDDCC
0;46;993;DEDDEDEEDDEDDDE
0;47;993;DDEEBCDEBBCCDDD
0;48;993;DDEEDDDEEEBBB
0;49;993;BBCCDDDEEEDEDDD
0;50;993;BBCCDEBBCBBDEDDEECB
0;51;993;DEDEBBBCCCBCDDDBC
0;52;993;BBBCCCDDEDD
0;53;797;DDDBCBCEEECBCBBBDDDD
0;54;795;DEDEDDDDDEEDDDED
0;55;795;DDEEBCDDDEDDCD
0;56;794;BBCCDDDEEDDDC
0;57;793;DDEEDEDDEDDDBE
0;58;792;BBBCCCDDEDEDDBCEECD
0;59;792;BCBCDDDDEDEEC
0;60;791;DDEEDEDDEEDDEDEDDEBE
0;61;594;DDEEDEDEDDDDBDECDE
0;62;594;DDEDEEDEBBBBCCBBEDED
0;63;593;DDEDEDDBDDC
0;64;593;DEBCDEDCBDEDDDE
0;65;591;BBBDECCCEBBCBCBCE
0;66;396;BBBDDDDEBCBBB
0;67;395;DDEEDEEDDBDEDDCD
0;68;394;DEDEDEEDDEDDDEDBC
0;69;393;DEDDEDBDEDEDDECC
0;70;393;BBCBBCCBBDDDDCCBECCC
0;71;392;DEDEDEDEDBBBD
0;72;391;BCBBBECCCBCDDEDECEDC
0;73;391;BBBCCCBCBBCBCDDBCD
0;74;194;DEDDDBCBBBBCBCDDDCBC
0;75;194;BCDDEDEBCBCDDD
0;76;194;DDEDDEDCDDEDEDDEBB
0;77;194;DDDBBCBCCCDDEDDDEECD
0;78;192;BBBCBEBBCBCBCD
0;79;191;DEDDEEDDBBCBE
0;80;191;BBCCBBBCCDEBCDDCD
0;81;0;DDEDDEDBBEEDDDEBCE
0;82;0;DDDEDDDEEBEDDDEDED
0;83;0;DDDBCEDDBCBCDDDB
0;84;0;DDDBCEDEBBBCCCBCD
0;85;0;BCDEDEBCDBBCBBDDC
0;86;0;BBCCDDDEBCBBB
0;87;0;DDEEBCDDDDBBBCBDC
0;88;0;DEDEDECBEDDDE
0;89;0;BBBCBCCCBDDDDEBBCCEB
0;90;0;BCBBBCBEBCDDEDE
0;91;0;DEBBCCDEDBCBCDDDBD
0;92;0;BBBDDDDDEDCDEBCDBEEB
0;93;0;BCBCBEDEEEEDEDDCDDCE
0;94;0;DDDDDBDDDDEBBCCECCBD
0;95;0;DDDBCBCEEEDDCBEECEDB
0;96;0;BBBDEDBBCBDEB
0;97;0;BBCBCDEDEDEDE
0;98;0;DDDEEEDDBBCBC
0;99;0;BCBCBBDDDDECBEDBC
1;0;998;DEDDDBCBBBDDEEDDEDED
1;1;998;DEDEDDDDDBDEDEDD
1;2;998;DDEDDEDBBBEDDDEDED
1;3;998;DDDBCEDDEDDBDEDD
1;4;998;DDDBCEDEDBBCBBDD
1;5;997;DDEDDDDBDDC
1;6;997;BBCCDDDEDBBBD
1;7;997;BBBDECCCDDDBBBCBD
1;8;997;BBBCCCDDEDEDDDDEDBD
1;9;997;BBBDDDCBEDDDE
1;10;997;DEDEDDEDDDDEDBDDEED
1;11;996;BCDDEDEDDEDDDB
1;12;996;BBBCBDDEDD
1;13;996;BBBCBCCCBCBCBBBDDD
1;14;996;BCBBBCBCBDEDDD
1;15;996;DEBBCCDEDDEDDDDBDE
1;16;996;BBBDDDDDEDEDEEEEDEDD
1;17;996;DDDDDBDDCBEE
1;18;995;BCBBBDDDCCB
1;19;995;BBBDEDDEDEDED
1;20;995;BCBCDDEDDBBCB
1;21;995;DEDDDEEDEDDEDDDED
1;22;995;DDEDDEDBCBCDDBC
1;23;995;DDDBBCBCBBCCBBEDE
1;24;995;BBCCDDEDDBBCB
1;25;995;BBCCBBBCBDDDDECBE
1;26;995;BCBBCCBBBCBDDDCBE
1;27;995;DDEDEDEEDEDEBBBCBDD
1;28;995;DDEDDEDDEDD
1;29;995;DEDDDEEDDDEDEDEBB
1;30;994;BCBCBBBCBDDE
1;31;994;DDDDEEDBCDDEDBCEEBCD
1;32;994;BBBCBDEDDEDE
1;33;994;DEBBBDECBDDEED
1;34;994;BCDDDBBBDEEEDEDE
1;35;994;DEDDDBCDEDDE
1;36;994;BCBBBDEDED
1;37;994;BCDEDEBBCCDDDEDEDB
1;38;994;DEDDEDEDEEDDDEDBBBCC
1;39;994;BBCBBDECBD
1;40;994;BCDEDEBBBDDDEEECCBBD
1;41;994;BCDDDEDDDEDEEB
1;42;994;DEBBBCBDDEDEDEDDCBCC
1;43;994;DDDDEEDBBBCBCCBCBBEE
1;44;994;BBCCBBBDED
1;45;994;BBCCDEBBCBCBCBBDDDCC
1;46;994;DDEEBCDDDEEDDEDEDDED
1;47;993;DEDDEDEEDDEDDDE
1;48;993;DDEEBCDEBBCCDDD
1;49;993;DDEEDDDEEEBBB
1;50;993;BBCCDDDEEEDEDDD
1;51;795;DDEEDEDDEEDEDDDDBDED
1;52;791;DDDBCEDEDDEDEECE
1;53;598;BCBCDDDBBCBBDDBC
1;54;597;DEDEDEDDDBBBCBDBB
1;55;597;DDEDEDEDDDDEDBDDEBB
1;56;597;DDDDDBDEEDDDC
1;57;595;DEDDDEEDCDDEDDBEC
1;58;595;DDEDDEDDDBBCBEC
1;59;594;DDEEDEDEDDDEDDCEBE
1;60;594;DEBBCCDEDDDEDEDDEBED
1;61;592;BBBDDDDDEDDDEDEECCCE
1;62;591;BBBCCCDDEDEDEDEDEBB
1;63;397;DEDDDBCBBBDDEDDCDEED
1;64;397;DDDBBCBCCCDDBDDCBDCD
1;65;396;BBBDDDBBDEDDEECBDCE
1;66;395;DDDBCEDDDEEDDDCD
1;67;395;BCBBBCBDDEDEDDEBEBDC
1;68;394;BBBCCCDDEDDBDDCEBDB
1;69;394;BCBCDDDDBDDCE
1;70;392;BBCCDDDDCBEEB
1;71;392;DEDDEEBCBCDDBCB
1;72;194;DDEDDDDEDDDEECDCEBCD
1;73;194;BBCCDDDBDEDDCDEB
1;74;194;BCDDEDEDDEDDDEECDCBC
1;75;0;DEDEDDDDCDDEDECEDCDC
1;76;0;BCBBBECCCBDBDEDEDDBD
1;77;0;DDEDDEDBBCDDEDDBDC
1;78;0;BBBCCBEDDDEDEDDDDE
1;79;0;BBCCDDEDDBDEDDEB
1;80;0;DDEEDEEDDEDBBBDC
1;81;0;BBBDECCCDEDBBBDCB
1;82;0;BBCCDEBBCCBEDDDECDB
1;83;0;DEDEDDEDDBBDEDDEECB
1;84;0;BBCCDEBBCDDEDBDDEED
1;85;0;DDDBBCBCCCDDEDDDBEBC
1;86;0;BBBCBDDDBDECDEEEBC
1;87;0;BBBCBCCCBDEDDDBEDE
1;88;0;DDEEDEDCBCBBBDDDEE
1;89;0;DDEEDEDDEECBDEDDDBDB
1;90;0;BCBCDDEDEEEEDEDDEBCC
1;91;0;BCBBBBBCCBBEDEDBCCDE
1;92;0;DDEDEEDEBBDDDCCBDDEC
1;93;0;BBBDEDDEDDBCEECDEEE
1;94;0;DDEDEEDDBBCBB
1;95;0;BBBCCEDDEDDDEDBBE
1;96;0;DDDBBCBCDEDDBCEECDE
1;97;0;BBBCCCDDEBBCCBBEDEB
1;98;0;BBCCDDBBCCBBEDEDEBEB
1;99;0;DDEDEEDEBBEDDBBCBEEE
2;0;998;DEDDDBCBBBDDEEDDEDED
2;1;998;DEDEDDDDDBDEDEDD
2;2;998;DDEDDEDBBBEDDDEDED
2;3;998;DDDBCEDDEDDBDEDD
2;4;998;DDDBCEDEDBBCBBDD
2;5;997;DDEDDDDBDDC
2;6;997;BBCCDDDEDBBBD
2;7;997;BBBDECCCDDDBBBCBD
2;8;997;BBBCCCDDEDEDDDDEDBD
2;9;997;BBBDDDCBEDDDE
2;10;997;DEDEDDEDDDDEDBDDEED
2;11;996;BCDDEDEDDEDDDB
2;12;996;BBBCBDDEDD
2;13;996;BBBCBCCCBCBCBBBDDD
2;14;996;BCBBBCBCBDEDDD
2;15;996;DEBBCCDEDDEDDDDBDE
2;16;996;BBBDDDDDEDEDEEEEDEDD
2;17;996;DDDDDBDDCBEE
2;18;996;DEDDDBCBBBEEEDEDDDCB
2;19;995;BCBBBDDDCCB
2;20;995;BBBDEDDEDEDED
2;21;995;BCBCDDEDDBBCB
2;22;995;DEDDDEEDEDDEDDDED
2;23;995;DDEDDEDBCBCDDBC
2;24;995;DDDBBCBCBBCCBBEDE
2;25;995;BBCCDDEDDBBCB
2;26;995;BBCCBBBCBDDDDECBE
2;27;995;BCBBCCBBBCBDDDCBE
2;28;995;DDEDEDEEDEDEBBBCBDD
2;29;995;DDEDDEDDEDD
2;30;995;DEDDDEEDDDEDEDEBB
2;31;994;BCBCBBBCBDDE
2;32;994;DDDDEEDBCDDEDBCEEBCD
2;33;994;BBBCBDEDDEDE
2;34;994;DEBBBDECBDDEED
2;35;994;BCDDDBBBDEEEDEDE
2;36;994;DEDDDBCDEDDE
2;37;994;BCBBBDEDED
2;38;994;BCDEDEBBCCDDDEDEDB
2;39;994;DEDDEDEDEEDDDEDBBBCC
2;40;994;BBCBBDECBD
2;41;994;BCDEDEBBBDDDEEECCBBD
2;42;994;BCDDDEDDDEDEEB
2;43;994;DEBBBCBDDEDEDEDDCBCC
2;44;994;DDDDEEDBBBCBCCBCBBEE
2;45;994;BBCCBBBDED
2;46;994;BBCCDEBBCBCBCBBDDDCC
2;47;994;DDEEBCDDDEEDDEDEDDED
2;48;994;DDEEDEDEDEDDEDDDED
2;49;993;DEDDEDEEDDEDDDE
2;50;993;DDEEBCDEBBCCDDD
2;51;993;DDEEDDDEEEBBB
2;52;798;DEDEDDEDDCBCDDBCBDD
2;53;796;DDEDDEDCBCDDBCB
2;54;599;BCBCDDDDDBBBCBDDB
2;55;597;DEDEDEDDDEDDDDEDBDB
2;56;596;BBBDDDDDEDDEDEDEDDEE
2;57;594;DDEEDEDEDDBDEDEDDB
2;58;594;DEBBCCDEDDEEDDDCDC
2;59;594;DEDDDEEDDDEDDCEBEB
2;60;592;DDDBCEDDDDEDEECE
2;61;591;DEDDEEBBCBCDDBC
2;62;396;DEDEDEDDDDEDDDBEE
2;63;396;BCBBBCBEEEDEDDD
2;64;396;DDDBBCBCDDBBCBECD
2;65;395;BBCCDDDDDEEDDEDEDDCD
2;66;395;DDEDDDEDEDDEBEDDECDD
2;67;394;BBBDECCCDDBDDCEDB
2;68;394;DDEDDEDBBCCBBEDEC
2;69;393;DDEEDEDEDCBEDDDEDC
2;70;393;BBBCBDEEDDDCDCEC
2;71;393;BBBDEDDDEDEECCCEDDEE
2;72;391;DEDEDEDDEDEEEEDEDDEB
2;73;197;BCBBBDDEDBDDEBBEDDB
2;74;196;DEBBCCDEDDDDBDDCBDBE
2;75;196;BBCCDDDEDDEBEBDCBDDB
2;76;196;BCBBBCBDDEDEDBBBDCBB
2;77;196;DDDBCEDDDDEDDBBB
2;78;194;DDDBCEDEEDDBDEDD
2;79;193;DDEDDEDEDDBBCBE
2;80;192;DDEEDEDDEEDDCBEECEBB
2;81;0;DEDEDDDDDDEDDCEBEC
2;82;0;DDEDDEDBBDDBDDCBDCDB
2;83;0;DDDBBCBCCCBEDDDEDEDB
2;84;0;DDDBCEDEDDBBCBEC
2;85;0;DDEDDEDDBBCBBDDD
2;86;0;BBBCCCDDEDBBBCBDBBE
2;87;0;BBBDDDDDEDDCEBEBEC
2;88;0;DEDDEEBDDEDBDDEEDCC
2;89;0;BCDDEDEDBBBCBDBBE
2;90;0;BBBCBCCCBDDEDEECEC
2;91;0;DDDBCEDECBCBBBDDDB
2;92;0;BBCCDDDCBDEDDDD
2;93;0;DDDDDBDEDDDDBDEEBC
2;94;0;BBBDDDDDEDDBBBCBDBBC
2;95;0;DDDDDBDEDDDDBDEDBCBD
2;96;0;DDEDEDEDDDDDCCBDBDD
2;97;0;BCBCDDDDBDDCEBDBEBC
2;98;0;BBBCCCDDEEDDBBCBCCE
2;99;0;BBCCDDDDBBCBECE
